vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
1TI 4:15,0.09204,2596.0,0.2468,278.5,0.552,0.2512,1095.0,0.7866330100121333,0.2618530802624054
1TI 4:16,0.03476,2278.0,0.2234,325.8,0.4382,0.1613,868.5,0.7793586168920992,0.20450372582568052
1TI 5:1,0.1019,397.0,0.3625,73.7,0.7505,0.2593,176.6,0.6287398311779486,0.3515251885945875
1TI 5:2,0.0817,103.6,0.2563,21.62,0.5103,0.10297,64.75,0.8783340168852201,0.2054828100934406
1TI 5:3,0.0,4656.0,0.156,312.0,0.436,0.2306,1645.0,0.7630386911583873,0.19983725229403843
1TI 5:7,0.1399,867.5,0.2324,284.8,0.6777,0.176,648.5,0.8153743673914239,0.27701745861335025
1TI 5:8,0.06168,1560.0,0.1677,228.8,0.4778,0.139,666.0,0.8313048335643489,0.19638666327728396
1TI 5:9,0.01741,69.3,0.2263,38.7,0.5483,0.312,46.0,0.6689152594854942,0.2720708873409013
1TI 5:11,0.03784,1861.0,0.1798,185.1,0.45,0.256,726.5,0.70013246064162,0.2317784012697558
1TI 5:13,0.05182,1379.0,0.1326,165.5,0.3538,0.1656,556.0,0.7947196718704638,0.1714660257664914
1TI 5:14,0.0636,1447.0,0.182,100.1,0.4443,0.3054,510.0,0.7650203238689651,0.22998275629742138
1TI 5:15,0.1359,2740.0,0.2551,238.0,0.623,0.1754,1005.5,0.8500194021155832,0.2575548909701985
1TI 5:16,0.04907,2970.0,0.1735,407.2,0.3289,0.2444,1034.0,0.7830470556886089,0.19500977732589472
1TI 5:17,0.03075,2612.0,0.1289,229.0,0.2642,0.165,904.5,0.7770973095281544,0.15496735156444635
1TI 5:18,0.0588,3052.0,0.1512,355.0,0.524,0.2334,1235.0,0.792875973946684,0.22532823459923895
1TI 5:19,0.0623,238.9,0.2246,32.6,0.3936,0.11145,85.7,0.8250220088578538,0.18584134597121862
1TI 5:20,0.07764,3492.0,0.1523,311.2,0.538,0.2042,1221.0,0.8001132007252482,0.22686841007446748
1TI 5:21,0.0746,2034.0,0.1998,263.0,0.461,0.1901,769.0,0.8010462514299421,0.21745746934151075
1TI 5:22,0.073,58.0,0.1578,13.45,0.564,0.0342,7.363,0.8773375122298084,0.1803980822668536
1TI 5:23,0.08014,2692.0,0.205,261.0,0.241,0.34,927.0,0.6057639260264935,0.23498358439851044
1TI 5:24,0.10364,3612.0,0.169,277.2,0.3264,0.2534,1323.0,0.8313162502413429,0.19630330404452145
1TI 5:25,0.1404,3206.0,0.277,277.0,0.4043,0.2761,1114.0,0.7051570940352827,0.26544178550633435
1TI 6:1,0.06195,1837.0,0.161,199.0,0.3918,0.1525,672.5,0.7717883540599089,0.1921408003645996
1TI 6:2,0.03232,1553.0,0.1776,165.8,0.3977,0.1564,661.5,0.7580530022503458,0.19263251225284309
1TI 6:3,0.10394,1155.0,0.145,248.2,0.4006,0.1533,600.5,0.8381184394562131,0.18692629359261237
1TI 6:4,0.01581,941.5,0.0843,104.5,0.2888,0.277,328.8,0.7083302594980451,0.17810555583363114
1TI 6:6,0.137,1022.5,0.1495,165.8,0.3726,0.248,660.5,0.8128265015761507,0.2097637179338641
1TI 6:7,0.0874,1959.0,0.1353,195.4,0.4834,0.18,778.5,0.7847965109986198,0.21219807914093344
1TI 6:8,0.1311,848.0,0.11896,164.4,0.497,0.09125,482.8,1.056390590896022,0.14705869409067535
1TI 6:9,0.0526,1737.0,0.1262,100.4,0.3054,0.1437,617.5,0.9374218722571922,0.1308915146125752
1TI 6:10,0.04483,2186.0,0.2135,240.8,0.4905,0.3079,795.0,0.7600005513621819,0.24860794814873544
1TI 6:11,0.0587,233.6,0.2344,131.1,0.538,0.0852,129.6,0.8262651196021258,0.21069464772848986
1TI 6:12,0.0338,2027.0,0.1584,186.9,0.423,0.1722,713.5,0.7204622805197783,0.20222308460205937
1TI 6:13,0.0719,1720.0,0.2438,287.5,0.518,0.2334,740.0,0.7421000574224268,0.2543150384237068
1TI 6:14,0.03903,2076.0,0.1971,349.5,0.5195,0.211,782.0,0.7136342643254644,0.24054336081534047
1TI 6:15,0.0664,1084.0,0.183,197.4,0.4006,0.1071,535.5,0.7414539064256511,0.19359993509920947
1TI 6:16,0.01823,1226.0,0.1769,163.5,0.4502,0.1655,516.0,0.6933091856267753,0.21271094746675429
1TI 6:17,0.04535,1424.0,0.144,124.44,0.4312,0.1615,546.5,0.8448623295979147,0.18222444843559696
1TI 6:18,0.05698,358.2,0.1812,38.88,0.3162,0.3445,224.1,0.6882483131139778,0.22156775356985253
1TI 6:19,0.04614,1804.0,0.1432,141.9,0.3643,0.2372,628.0,0.686871763323593,0.20481914890649638
1TI 6:20,0.05557,2782.0,0.2338,233.1,0.4614,0.2295,954.5,0.9130356447201828,0.19929429760952644
1TI 6:21,0.0467,2154.0,0.1564,219.0,0.4617,0.1682,807.5,0.8249505854454711,0.19238839436488026
2TI 1:1,0.0926,2260.0,0.2229,295.0,0.4912,0.286,910.0,0.6328769503643525,0.2763369740635974
2TI 1:2,0.03705,1802.0,0.2307,377.8,0.545,0.223,778.0,0.6616469169499266,0.2629483567986524
